Wavelength,Transmission
1074,4.946E+01
1075,4.950E+01
1076,4.955E+01
1077,4.958E+01
1078,4.964E+01
1079,4.970E+01
1080,4.978E+01
1081,4.972E+01
1082,4.965E+01
1083,4.965E+01
1084,4.964E+01
1085,4.957E+01
1086,4.963E+01
1087,4.966E+01
1088,4.963E+01
1089,4.961E+01
1090,4.959E+01
1091,4.951E+01
1092,4.944E+01
1093,4.941E+01
1094,4.948E+01
1095,4.951E+01
1096,4.952E+01
1097,4.951E+01
1098,4.946E+01
1099,4.941E+01
1100,4.936E+01
1101,4.931E+01
1102,4.923E+01
1103,4.914E+01
1104,4.924E+01
1105,4.934E+01
1106,4.932E+01
1107,4.933E+01
1108,4.927E+01
1109,4.910E+01
1110,4.891E+01
1111,4.885E+01
1112,4.889E+01
1113,4.894E+01
1114,4.900E+01
1115,4.908E+01
1116,4.916E+01
1117,4.909E+01
1118,4.906E+01
1119,4.906E+01
1120,4.912E+01
1121,4.924E+01
1122,4.936E+01
1123,4.944E+01
1124,4.945E+01
1125,4.939E+01
1126,4.934E+01
1127,4.934E+01
1128,4.932E+01
1129,4.937E+01
1130,4.942E+01
1131,4.944E+01
1132,4.936E+01
1133,4.939E+01
1134,4.943E+01
1135,4.949E+01
1136,4.955E+01
1137,4.958E+01
1138,4.956E+01
1139,4.952E+01
1140,4.949E+01
1141,4.941E+01
1142,4.932E+01
1143,4.920E+01
1144,4.902E+01
1145,4.888E+01
1146,4.885E+01
1147,4.896E+01
1148,4.904E+01
1149,4.912E+01
1150,4.912E+01
1151,4.917E+01
1152,4.919E+01
1153,4.917E+01
1154,4.919E+01
1155,4.931E+01
1156,4.934E+01
1157,4.928E+01
1158,4.910E+01
1159,4.897E+01
1160,4.896E+01
1161,4.902E+01
1162,4.914E+01
1163,4.926E+01
1164,4.937E+01
1165,4.944E+01
1166,4.951E+01
1167,4.961E+01
1168,4.971E+01
1169,4.978E+01
1170,4.971E+01
1171,4.966E+01
1172,4.956E+01
1173,4.945E+01
1174,4.933E+01
1175,4.925E+01
1176,4.922E+01
1177,4.926E+01
1178,4.940E+01
1179,4.956E+01
1180,4.970E+01
1181,4.984E+01
1182,4.996E+01
1183,4.998E+01
1184,4.997E+01
1185,4.994E+01
1186,4.991E+01
1187,4.992E+01
1188,5.002E+01
1189,5.018E+01
1190,5.031E+01
1191,5.037E+01
1192,5.039E+01
